,year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,display_genre
35,1973,36,Danny's Song,Anne Murray,https://www.youtube.com/watch?v=e5C255Pw7KI,Blues,Experimental,Blues
2,1973,3,Killing Me Softly with His Song,Roberta Flack,https://www.youtube.com/watch?v=DEbi_YjpA-Y,Experimental,Classical,Classical
4,1973,5,My Love,Paul McCartney & Wings,https://www.youtube.com/watch?v=FszrwclD_-Q,Experimental,Classical,Classical
5,1973,6,Why Me,Kris Kristofferson,https://www.youtube.com/watch?v=DgDs_JE4Qcg,Experimental,Classical,Classical
10,1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,https://www.youtube.com/watch?v=K-qK7oVXVRQ,Experimental,Classical,Classical
43,1973,44,Daddy's Home,Jermaine Jackson,https://www.youtube.com/watch?v=Fx_Y_0K3Hx4,Experimental,Classical,Classical
6,1973,7,Crocodile Rock,Elton John,https://www.youtube.com/watch?v=-8PiA0FAYBI,Experimental,Electronic,Electronic
12,1973,13,Brother Louie,Stories,https://www.youtube.com/watch?v=jidMaFbmaok,Experimental,Electronic,Electronic
15,1973,16,Frankenstein,The Edgar Winter Group,https://www.youtube.com/watch?v=P8f-Qb-bwlU,Experimental,Electronic,Electronic
18,1973,19,You Are the Sunshine of My Life,Stevie Wonder,https://www.youtube.com/watch?v=F8PGHi4TJQM,Experimental,Electronic,Electronic
19,1973,20,Half-Breed,Cher,https://www.youtube.com/watch?v=t9xTXZwnJUk,Experimental,Electronic,Electronic
20,1973,21,That Lady,The Isley Brothers,https://www.youtube.com/watch?v=nHp4Nk7fS0k,Experimental,Electronic,Electronic
21,1973,22,Pillow Talk,Sylvia Robinson,https://www.youtube.com/watch?v=NA2X1040_gY,Experimental,Electronic,Electronic
24,1973,25,Wildflower,Skylark,https://www.youtube.com/watch?v=JYXVKqwHxuE,Experimental,Electronic,Electronic
32,1973,33,I'm Gonna Love You Just a Little More Baby,Barry White,https://www.youtube.com/watch?v=TOHoaP36hgA,Experimental,Electronic,Electronic
36,1973,37,Dancing in the Moonlight,King Harvest,https://www.youtube.com/watch?v=SEb8tuYhDBI,Experimental,Electronic,Electronic
37,1973,38,Monster Mash,Bobby 'Boris' Pickett,https://www.youtube.com/watch?v=-YpwUuoun2E,Experimental,Electronic,Electronic
38,1973,39,Natural High,Bloodstone,https://www.youtube.com/watch?v=QBHBp-ZCoq4,Experimental,Electronic,Electronic
40,1973,41,Long Train Runnin',The Doobie Brothers,https://www.youtube.com/watch?v=m4tJSn0QtME,Experimental,Electronic,Electronic
42,1973,43,If You Want Me to Stay,Sly & the Family Stone,https://www.youtube.com/watch?v=gZFabOuF4Ps,Experimental,Electronic,Electronic
46,1973,47,Could It Be I'm Falling in Love,The Spinners,https://www.youtube.com/watch?v=EU4UTDrSwQc,Experimental,Electronic,Electronic
28,1973,29,Rocky Mountain High,John Denver,https://www.youtube.com/watch?v=eWtJusRqoug,Experimental,Folk,Folk
47,1973,48,Daniel,Elton John,https://www.youtube.com/watch?v=0f0TMfQNRk8,Folk,Pop,Folk
30,1973,31,Shambala,Three Dog Night,https://www.youtube.com/watch?v=LFbxd-rzv_4,Jazz,Experimental,Jazz
33,1973,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,https://www.youtube.com/watch?v=3Q-m_CxQacM,Experimental,Jazz,Jazz
39,1973,40,Diamond Girl,Seals and Crofts,https://www.youtube.com/watch?v=RC-oP84mRME,Experimental,Jazz,Jazz
1,1973,2,"Bad, Bad Leroy Brown",Jim Croce,https://www.youtube.com/watch?v=ALUgmzI0v3I,Experimental,Pop,Pop
3,1973,4,Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=x6QZn9xiuOE,Experimental,Pop,Pop
11,1973,12,Playground in My Mind,Clint Holmes,https://www.youtube.com/watch?v=Q2xgm03xx2U,Experimental,Pop,Pop
